0,339,578,980,602,491,546,1003,880,902,785,633,743,688,647,856,1093,590,582,761,539,1183,496,676,809,690,218,720,780,899,198,618,70,951,905,1014,695,335,1159,376,840,357,675,399,885,199,551,855,743,287,207,707,917,803,753,717,865,428,1081,492,838,632,357,690,902,489,764,268,801,292,485,630,720,783,1039,1078,905,714,253,91,734
339,0,917,647,625,732,885,715,1219,1241,1032,347,410,920,986,1104,1383,762,697,1100,206,1414,283,546,521,952,151,704,677,642,316,957,409,1182,1244,726,868,414,1391,549,1072,696,1014,186,1224,162,294,1194,455,497,546,730,770,1034,754,384,877,412,1313,515,770,419,111,1029,569,613,996,573,674,631,658,297,464,1014,751,746,1137,945,210,244,966
578,917,0,1320,595,255,287,1224,340,324,207,1096,1287,417,166,278,515,398,504,221,1108,682,959,955,1140,140,796,867,1027,1477,776,167,571,450,327,1342,503,523,659,425,340,226,97,861,307,781,1129,348,1206,444,461,823,1076,302,676,1294,673,706,581,645,997,1078,935,112,1422,479,483,368,1079,339,338,1207,1298,517,1361,1464,346,448,832,669,371
980,647,1320,0,740,1055,1424,364,1634,1579,1361,359,237,1146,1401,1418,1697,985,830,1515,441,1641,499,370,182,1298,762,539,380,429,956,1372,1050,1409,1647,214,990,816,1617,940,1298,1111,1377,593,1627,815,518,1642,246,888,937,584,429,1261,731,333,891,618,1539,674,474,418,618,1432,233,841,1205,964,304,1112,985,370,429,1171,305,144,1363,1106,817,885,1192
602,625,595,740,0,330,822,679,934,845,626,641,832,411,760,683,962,245,91,816,703,906,535,375,560,573,576,322,436,1169,673,723,635,674,922,762,255,341,883,312,563,509,652,457,902,500,798,943,751,355,435,278,531,526,131,890,254,221,805,112,452,498,708,707,972,199,471,420,457,621,260,803,996,436,781,884,628,371,639,602,458
491,732,255,1055,330,0,542,960,595,536,314,887,1078,190,421,385,665,131,240,476,898,685,749,690,876,233,647,603,763,1328,689,383,485,453,582,1078,237,315,662,183,342,259,312,652,562,572,980,604,996,275,337,558,811,305,411,1085,406,442,584,380,733,813,786,367,1212,214,266,224,815,370,74,998,1150,285,1097,1199,407,216,711,582,237
546,885,287,1424,822,542,0,1430,345,505,472,1188,1289,682,121,543,693,685,732,226,1085,922,1051,1059,1244,421,764,1094,1163,1445,744,131,466,715,447,1447,790,615,924,568,605,271,361,953,427,746,1097,309,1298,536,541,1050,1303,567,903,1264,960,811,846,872,1224,1182,903,290,1448,681,748,460,1183,376,562,1176,1267,804,1465,1568,610,735,800,637,636
1003,715,1224,364,679,960,1430,0,1564,1454,1236,371,545,1021,1390,1293,1572,881,720,1445,509,1516,511,376,194,1202,846,357,312,755,980,1352,1073,1284,1551,203,846,822,1492,941,1173,1117,1281,605,1531,827,604,1572,464,894,943,402,148,1136,548,641,709,624,1414,616,227,424,686,1336,558,828,1058,970,310,1118,889,563,737,1026,117,336,1238,958,885,909,1067
880,1219,340,1634,934,595,345,1564,0,291,525,1398,1589,735,286,441,448,737,844,124,1409,667,1260,1269,1454,474,1098,1207,1367,1778,1077,288,811,681,128,1656,843,824,684,765,569,527,414,1163,152,1083,1430,98,1507,745,762,1162,1415,620,1016,1596,1012,1020,617,984,1337,1392,1236,272,1723,818,801,669,1393,641,678,1508,1600,856,1675,1777,507,787,1133,970,688
902,1241,324,1579,845,536,505,1454,291,0,257,1410,1601,434,393,152,192,666,785,285,1421,419,1272,1214,1400,303,1120,1098,1257,1801,1100,395,895,393,175,1602,680,847,436,706,280,550,227,1175,138,1095,1453,389,1520,768,785,1053,1306,319,906,1608,858,987,369,926,1228,1337,1259,224,1735,760,500,692,1297,663,619,1521,1622,588,1564,1723,218,567,1156,993,387
